,season,team,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa,wepa_net,wepa_against,d_wepa_against,wepa_net_opponent,wepa_net_normalized
78,2019,NE,188.0,-188.0,-25.107048,-242.74721,217.64015,-217.64015,-7.7550337114616035,-129.7104055131463,121.95537180168469,-209.36846124948573,2.8908226036475275,-212.25928385313327,130.10528783367408
79,2021,LAR,120.0,-120.0,59.475174,-94.43704,153.91222,-153.91222,87.81994033798456,-33.771811673279,121.59175201126355,-69.758963073049,78.4567521813672,-148.21571525441618,129.71990426527495
80,2009,LAC,131.0,-131.0,170.39189,31.689302,138.70259,-138.70259,174.23506891695723,53.9197325063465,120.31533641061071,48.717487501685206,138.6593837784847,-89.94189627679948,128.36709121191998
81,2015,SEA,140.0,-140.0,76.48859,-85.04267,161.53127,-161.53127,91.68119201803064,-28.45881334755524,120.14000536558588,-62.399687320463734,77.81127843027997,-140.2109657507437,128.18126605728645
82,2009,IND,125.0,-125.0,122.51164,-10.477413,132.98906,-132.98906,146.48711481559616,26.81414400435908,119.67297081123708,7.700973129340333,120.51383487686044,-112.81286174752012,127.6862780289611
83,2016,DAL,112.0,-112.0,119.40819,-11.552889,130.96107,-130.96107,134.3989440179054,15.621695028573082,118.77724898933232,12.569946225923312,104.97349045827808,-92.40354423235478,126.73694446375877
84,2014,GB,137.0,-137.0,120.47965,-35.513367,155.99303,-155.99303,139.2637970997048,20.588718373155796,118.675078726549,-4.546381835979006,107.3843141656247,-111.9306960016037,126.6286589922499
85,2017,LAR,136.0,-136.0,65.12085,-98.68034,163.8012,-163.8012,80.35162432882642,-38.310146538985855,118.66177086781227,-71.9733750679041,71.32170561694822,-143.29508068485234,126.61455461668284
86,2000,IND,97.0,-97.0,143.00752,27.112997,115.89452,-115.89452,160.92832079170236,44.953506908139374,115.974813883563,41.06452693490559,130.83064723186968,-89.76612029696408,123.76677488080644
87,2003,GB,138.0,-138.0,106.366066,-39.50823,145.87428,-145.87428,124.9034583516732,10.280657292384138,114.62280105928906,-20.962167396405043,111.98269776692102,-132.94486516332606,122.3338398743355
88,2002,TB,219.0,-219.0,-22.01317,-255.64075,233.62758,-233.62758,-1.4637364489343003,-115.79737938303106,114.33364293409674,-218.22985716329657,17.044640089207274,-235.27449725250386,122.02737473395038
89,2014,DAL,114.0,-114.0,124.2845,-7.2578077,131.5423,-131.5423,145.60150159435608,31.993809259047598,113.60769233530847,21.39476111111417,117.18362355815724,-95.78886244704306,121.25797372880024
90,2021,NE,129.0,-129.0,62.21402,-85.02153,147.23557,-147.23557,89.12720272309883,-24.107808770562777,113.2350114936616,-52.058817002529004,79.7762973030569,-131.83511430558588,120.86298677701328
91,2017,NO,122.0,-122.0,95.03152,-41.077484,136.109,-136.109,111.74566389427065,-0.8763663461282136,112.62203024039886,-20.067772284796625,90.95958951170792,-111.02736179650455,120.2133166848806
92,2013,NO,104.0,-104.0,102.44905,-15.454476,117.90353,-117.90353,120.17362655429949,7.677000188246502,112.49662636605298,-4.855970501454241,95.51692564623835,-100.37289614769259,120.0804069977304
93,2019,DAL,113.0,-113.0,78.20566,-47.83588,126.04154,-126.04154,101.47095692933296,-10.832642003283517,112.30359893261647,-27.887964695431897,78.13533208910818,-106.02329678454007,119.87582627067336
94,2024,WAS,79.0,-79.0,196.82034,94.75931,102.06104,-102.06104,207.6935733245286,95.97880203130798,111.71477129322061,111.49161767170837,162.2720702334394,-50.780452561731025,119.25175546149218
95,2014,BAL,116.0,-116.0,100.29045,-39.62216,139.91261,-139.91261,114.14452193605926,3.0235821636157496,111.12093977244352,-15.26144709506353,97.81950873729484,-113.08095583235837,118.62238127303037
96,2015,CIN,138.0,-138.0,49.75663,-103.69651,153.45314,-153.45314,69.07951411696824,-41.35168817746069,110.43120229442894,-77.56736760153959,61.20425878869523,-138.77162639023481,117.89136085682031
97,2007,DAL,126.0,-126.0,130.036,-3.8942652,133.93027,-133.93027,144.4981092130143,34.33094673445542,110.16716247855885,15.531703627704875,121.79363248043443,-106.26192885272955,117.61151743487233
98,2022,CIN,117.0,-117.0,75.293976,-66.63743,141.9314,-141.9314,95.9298351452177,-14.091106172067366,110.02094131728506,-40.04418499766475,78.84265471851441,-118.88683971617917,117.45654448127733
99,2013,SF,144.0,-144.0,68.4682,-98.5218,166.98999,-166.98999,77.50738113114234,-31.834426378793275,109.34180750993562,-71.52318569148487,69.80723969550185,-141.33042538698672,116.73676239847681
100,2000,BAL,240.0,-240.0,-44.619225,-298.67093,254.0517,-254.0517,-36.94016606565233,-144.07912927707812,107.13896321142579,-251.6319380855865,-4.658973210693512,-246.972964874893,114.40207100171821
101,2008,NE,101.0,-101.0,133.08821,19.967182,113.121025,-113.121025,145.2777534375724,38.175245369826776,107.10250806774562,34.111419300099996,119.84828534108844,-85.73686604098845,114.36343390404623
102,2005,LAC,106.0,-106.0,127.10459,13.3845625,113.720024,-113.720024,140.18326601849103,33.269204185970345,106.91406183252069,22.003962040014176,119.36640141467197,-97.36243937465778,114.16370857419481
103,2014,SEA,156.0,-156.0,44.382164,-121.61158,165.99374,-165.99374,60.52591302358485,-46.13925766264206,106.6651706862269,-91.19199204730687,50.563957621277794,-141.75594966858466,113.8999205169206
104,2025,JAX,138.0,-138.0,79.24003,-80.299286,159.53932,-159.53932,89.98836961774668,-16.27406490252219,106.26243452026888,-54.577144449709195,80.97491597793343,-135.55206042764263,113.47307933597024
105,2006,IND,107.0,-107.0,146.17091,35.14628,111.02464,-111.02464,169.92336564057783,64.84077872868274,105.08258691189509,58.3592786519696,139.46285999140002,-81.10358133943042,112.2226141702661
106,2009,NE,123.0,-123.0,79.79516,-47.56469,127.35985,-127.35985,104.07216195124435,-0.30092194563422203,104.37308389687858,-22.60917503335179,89.04680629092822,-111.65598132428,111.47064518804893
107,2022,DAL,135.0,-135.0,39.86663,-121.87206,161.7387,-161.7387,57.5970778358,-46.45853801403362,104.05561584983361,-90.36514774527798,56.05408316059559,-146.41923090587358,111.13417568873706
108,2024,GB,110.0,-110.0,83.071266,-55.295395,138.36665,-138.36665,100.34492779817126,-3.4585819287195054,103.80350972689077,-34.24196896095772,85.68119258304073,-119.92316154399845,110.8669802284392
109,2007,JAX,98.0,-98.0,120.474335,-3.2924805,123.766815,-123.766815,136.96737415110476,33.1638908104189,103.80348334068586,17.174013003623394,110.74976865869795,-93.57575565507454,110.86695226293767
110,2006,CHI,188.0,-188.0,-42.01886,-242.59752,200.57866,-200.57866,-10.451521261356268,-113.83406401853539,103.38254275717912,-193.34054032134424,24.978827201742753,-218.31936752308695,110.4208170732992
111,2017,JAX,155.0,-155.0,-4.5922313,-194.70784,190.1156,-190.1156,17.086947525893244,-86.19211759647315,103.27906512236639,-156.63842848235188,22.367738817192215,-179.0061672995441,110.31114597946944
112,2000,LAR,66.0,-66.0,183.2241,112.13887,71.085236,-71.085236,210.48966906792384,107.48647448448355,103.00319458344028,122.98303280539719,174.67863178957361,-51.69559898417643,110.01876372881031
113,2001,PHI,166.0,-166.0,45.104156,-130.37102,175.47516,-175.47516,50.33359337926397,-51.91188317092171,102.24547655018567,-103.41301786701098,57.56416207152496,-160.97717993853595,109.21569390921158
114,2013,NE,117.0,-117.0,132.97049,9.490486,123.48,-123.48,145.58481508167077,43.67010974794651,101.91470533372424,35.28475340598784,119.82699501037592,-84.54224160438808,108.86512500432336
115,2001,SF,117.0,-117.0,117.5935,-9.191658,126.78516,-126.78516,133.08262685842274,32.37088804381944,100.71173881460328,10.793236101832798,110.7597467642465,-99.96651066241371,107.59015718899467
116,2010,PIT,149.0,-149.0,44.801712,-114.88724,159.68895,-159.68895,64.36938379593768,-35.65914483889272,100.0285286348304,-86.81329344502778,62.75813889597463,-149.5714323410024,106.86605475017379
117,2015,KC,141.0,-141.0,56.583313,-112.45219,169.0355,-169.0355,65.08776735819139,-34.74533585799305,99.83310321618443,-83.05960919619787,60.47289304937538,-143.53250224557326,106.65893251101718
118,2007,PIT,122.0,-122.0,77.24365,-56.955257,134.19891,-134.19891,89.52559970751449,-10.169007859044449,99.69460756655893,-42.2926275884994,82.00456809380853,-124.29719568230793,106.51214746502558
119,2008,PHI,144.0,-144.0,10.852642,-152.13387,162.98651,-162.98651,34.661040699483564,-64.2547506384324,98.91579133791596,-125.82210509987252,46.726207326876406,-172.54831242674894,105.68671665727454
120,2008,LAC,87.0,-87.0,170.07297,75.14911,94.92387,-94.92387,182.19016183151368,83.35509249621661,98.83506933529706,89.21952480093393,149.57297434699018,-60.35344954605627,105.60116319116214
121,2008,NYG,121.0,-121.0,99.9411,-30.98436,130.92546,-130.92546,107.90289162338654,9.418361146524365,98.48453047686218,-15.273771802548307,92.4053945455429,-107.6791663480912,105.22964348930617
122,2005,CAR,143.0,-143.0,62.71705,-103.12866,165.84572,-165.84572,76.2031608922056,-22.187798216721447,98.39095910892706,-73.53021190649794,78.81365690532554,-152.34386881182348,105.13047158330771
123,2023,KC,109.0,-109.0,24.157927,-108.19335,132.35129,-132.35129,47.91649413872733,-49.174595496030804,97.09108963475815,-86.55661395652875,54.00607984909895,-140.5626938056277,103.75280086899339
124,2014,DEN,117.0,-117.0,62.375492,-62.716034,125.09153,-125.09153,79.94348231858957,-16.210081432280464,96.15356375087005,-43.33460187388339,69.16535548507076,-112.49995735895415,102.75916113838115
125,2012,ATL,118.0,-118.0,104.79689,-22.728535,127.52542,-127.52542,123.33791215934536,27.91992049398466,95.4179916653607,10.344322405295486,102.38425762099955,-92.03993521570406,101.97956277053636
126,2012,GB,97.0,-97.0,125.04876,19.959785,105.088974,-105.088974,136.3137214277185,41.82227590848703,94.49144551923146,35.53930248601283,105.070828575212,-69.53152608919918,100.99755994921526
127,2018,CHI,137.0,-137.0,-7.762568,-166.97855,159.21597,-159.21597,21.97779656760296,-71.71072601231376,93.68852257991672,-130.98303924909658,25.395874677297748,-156.37891392639432,100.14657956901029
128,2001,GB,106.0,-106.0,46.753654,-90.8722,137.62585,-137.62585,71.06338522987619,-21.231097634538774,92.29448286441497,-63.815129071007895,74.76928065618422,-138.5844097271921,98.66910223086005
129,2009,BAL,132.0,-132.0,44.129074,-101.981415,146.11049,-146.11049,62.72738117655888,-28.99324595494142,91.7206271315003,-75.35340034170044,59.267123669332165,-134.62052401103261,98.06089944343525
130,1999,IND,87.0,-87.0,90.34099,-11.968248,102.309235,-102.309235,108.98305012976451,17.63247383843896,91.35057629132555,-0.23736953667624583,94.42346690235347,-94.66083643902971,97.6686999069071
131,2011,PIT,92.0,-92.0,41.732613,-60.729168,102.461784,-102.461784,69.33798903442886,-21.934725980762202,91.27271501519107,-45.178559335497226,64.48835458273497,-109.6669139182322,97.586178390677
132,2013,LAC,58.0,-58.0,182.42561,112.313484,70.11214,-70.11214,195.50971823936442,105.02685510453139,90.48286313483302,124.69703743759281,152.94639209639584,-28.24935465880305,96.74905141305403
133,2000,TEN,141.0,-141.0,-9.451426,-154.445,144.99359,-144.99359,8.992157494661868,-81.11148396511788,90.10364145977975,-140.53586913698015,27.8839855373835,-168.41985467436365,96.34713213859139
134,2009,DAL,100.0,-100.0,46.460217,-61.91449,108.37471,-108.37471,69.84782780102564,-20.082644871579962,89.9304726726056,-43.19208282430509,59.600986336347574,-102.79306916065266,96.16359865968137
135,2004,KC,48.0,-48.0,213.64183,161.87128,51.77055,-51.77055,226.49492156566433,137.9753531451387,88.5195684205256,168.61017120419322,178.82313327933582,-10.212962075142588,94.66824738986642
136,2019,NO,111.0,-111.0,55.34312,-74.92396,130.26707,-130.26707,62.430383888123295,-25.695727293517646,88.12611118164094,-50.32643122249301,49.0146191127378,-99.3410503352308,94.25124050870018
137,2021,GB,76.0,-76.0,107.4503,7.7695246,99.68077,-99.68077,121.0633750986562,33.32343032063652,87.73994477801968,25.511650752905517,89.21040396222568,-63.69875320932017,93.84196084201577
