,game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa,wepa_net,wepa_against,d_wepa_against,wepa_net_opponent,wepa_net_normalized
8063,2015_06_MIA_TEN,MIA,TEN,2015,5,28.0,-28.0,12.430822,-20.982182,33.413002,-33.413002,14.605139168442795,-8.811951534162192,23.417090702604987,-14.237487166840971,11.118111277670094,-25.355598444511067,25.307560192991644
8064,2015_07_HOU_MIA,MIA,HOU,2015,6,18.0,-18.0,13.846357,-2.9606695,16.807026,-16.807026,14.942701778168521,-0.23951735121299367,15.182219129381515,-1.6265806813055201,11.319851655975341,-12.94643233728086,16.467053391002914
8065,2015_08_MIA_NE,MIA,NE,2015,7,-29.0,29.0,-15.743912,13.714421,-29.458332,29.458332,-13.603801343899185,9.908642866163175,-23.512444210062363,12.912078191119944,-8.711795984218458,21.6238741753384,-25.073416476836567
8066,2015_09_MIA_BUF,MIA,BUF,2015,8,-16.0,16.0,5.8722773,20.518732,-14.646455,14.646455,7.9859263743699245,14.824743546984504,-6.838817172614579,19.594008732361196,5.531097202105995,14.062911530255201,-7.1735243015077765
8067,2015_10_MIA_PHI,MIA,PHI,2015,9,1.0,-1.0,-1.7929177,-6.9819517,5.189034,-5.189034,-1.649504004233832,-3.8703590822832323,2.2208550780494,-5.2515768947668535,-1.2953792813092913,-3.9561976134575625,2.5524433038901146
8068,2015_11_DAL_MIA,MIA,DAL,2015,10,-10.0,10.0,-10.832869,2.9409497,-13.773818,13.773818,-9.377987803093253,4.4790486312885385,-13.857036434381792,5.342551198282731,-6.344866409729838,11.68741760801257,-14.707899861564568
8069,2015_12_MIA_NYJ,MIA,NYJ,2015,11,-18.0,18.0,-12.961353,6.0475144,-19.008867,19.008867,-8.946776486634215,4.369317039694882,-13.316093526329098,6.532780937209223,-6.450684820495578,12.983465757704801,-14.127173202307702
8070,2015_13_BAL_MIA,MIA,BAL,2015,12,2.0,-2.0,-12.175043,-12.866086,0.6910429,-0.6910429,-10.594636172817,-5.824554850213594,-4.770081322603406,-9.655358820306894,-7.709590836688007,-1.9457679836188868,-4.952642871734274
8071,2015_14_NYG_MIA,MIA,NYG,2015,13,-7.0,7.0,0.54324436,10.659162,-10.115917,10.115917,2.2971555918532958,9.121508849352736,-6.824353257499441,13.385990749378127,1.952143751483861,11.433846997894266,-7.1579966349471285
8072,2015_15_MIA_LAC,MIA,LAC,2015,14,-16.0,16.0,-5.681289,10.538883,-16.220173,16.220173,-5.40151535550919,8.01780633504924,-13.41932169055843,11.345529394098214,-4.1047203338207305,15.450249727918944,-14.237993301918435
8073,2015_16_IND_MIA,MIA,IND,2015,15,-6.0,6.0,-0.8418021,6.696574,-7.5383763,7.5383763,0.2713420263494619,4.838261816121792,-4.56691978977233,6.573505665441505,0.6749741988140674,5.898531466627438,-4.734539784524556
8074,2015_17_NE_MIA,MIA,NE,2015,16,10.0,-10.0,-2.0213091,-11.254773,9.233464,-9.233464,-1.6580390091001815,-8.131551375055338,6.473512365955156,-10.772480266307934,-1.4603918000391993,-9.312088466268735,7.117863097746265
8075,2016_01_MIA_SEA,MIA,SEA,2016,1,-2.0,2.0,-13.167439,-13.264217,0.096777916,-0.096777916,-12.731099227989015,-7.227033067477701,-5.5040661605113135,-10.414288521306103,-9.513449436224334,-0.9008390850817687,-5.740608767059277
8076,2016_02_MIA_NE,MIA,NE,2016,2,-7.0,7.0,1.6968911,8.234939,-6.538048,6.538048,7.3397443826903075,6.870471538271779,0.4692728444185281,10.008351980491586,5.840112939742077,4.168239040749509,0.6720406147932997
8077,2016_03_CLE_MIA,MIA,CLE,2016,3,6.0,-6.0,-4.2666073,-7.270804,3.0041966,-3.0041966,-0.6193589742951815,-3.833913926910574,3.2145549526153925,-4.076310218535917,0.8495937332901495,-4.925903951826067,3.6192250286714356
8078,2016_04_MIA_CIN,MIA,CIN,2016,4,-15.0,15.0,-14.329781,2.901154,-17.230934,17.230934,-11.38451491202712,2.0960779093781348,-13.480592821405255,2.389546825785998,-7.791564189357363,10.181111015143362,-14.303770629980015
